,0
0,SCORE
1,Horlbeck
2,UBE2A
3,GNAI1
4,MYBL2
5,BIRC5
6,NFIL3
7,TGFB3
8,P4HTM
9,RPN1
10,PDIA5
11,BAMBI
12,TATDN2
13,FAM57A
14,FGFR4
15,MOK
16,CCNE2
17,KIAA0753
18,KDELR2
19,GTF2A2
20,DCTD
21,USP22
22,CANT1
23,NENF
24,RRP12
25,DSG2
26,SACM1L
27,FBXO11
28,AKAP8
29,BAG3
30,MBNL2
31,C2CD2
32,YKT6
33,MVP
34,NOL3
35,CSRP1
36,DMTF1
37,ALDOC
38,SYNGR3
39,TCEAL4
40,PLEKHM1
41,IGF1R
42,MMP1
43,ETV1
44,CHERP
45,PARP2
46,TIMM17B
47,NUP133
48,ENOSF1
49,RALA
50,CNOT4
51,FBXL12
52,GDSC
53,GDSCcomb
54,PRISM
55,inhouse
56,CTRP
